Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
$518K  |  -$132k ( -$122k ), -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,, -$122k ,46,44.2,,8,,,,5,4,2,24,4,-10,,,,4,,5,,,,,,,,
E. Aitken
DOL v SGI | EDG, CTR
$695K  |  $146k ( $146k ), $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,, $146k ,45,52.5,,,,,,,4,,31,4,-2,,,,,,12,,,-4,,,,,
T. Sloan
SGI @ DOL | WFB
$514K  |  $49k ( $13k ), $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,, $13k ,43,37.1,,,,,,,8,,2,20,-2,,,-4,,,14,1,4,-2,,,2,,
J. Su'a
SGI @ DOL | EDG
$686K  |  $53k ( $48k ), $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,, $48k ,40,49.5,,,,,,,,2,28,2,-14,,12,,4,,6,,,,,,,,
L. Leilua
SGI @ DOL | EDG
$553K  |  -$55k ( -$55k ), -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,, -$55k ,38,41.9,,,,,,,,2,20,6,,,4,,,,6,,,,,,,,
Z. Lomax
SGI @ DOL | CTR, WFB
$677K  |  $86k ( $78k ), $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,, $78k ,37,50,,,,,,,,,2,10,,,4,-2,,,18,,5,,,,,,
B. Hunt
SGI @ DOL | HLF
